region_id,area,perimeter,centroid_y,centroid_x,bbox_min_row,bbox_min_col,bbox_max_row,bbox_max_col,width,height,solidity,extent,aspect_ratio,mean_brightness,std_brightness,min_brightness,mean_red,mean_green,mean_blue
4,558,200.94722215136414,44.238351254480285,514.3351254480286,0,503,91,526,23,91,0.8441754916792739,0.2666029622551362,3.956521737410208,0.10106121748685837,0.05589166283607483,0.0,0.15976491570472717,0.09335128217935562,0.05006683990359306
78,556,188.58683245815342,524.1330935251799,51.99460431654676,509,35,549,72,37,40,0.578563995837669,0.37567567567567567,1.081081080788897,0.12333662807941437,0.03653091564774513,0.01568627543747425,0.11733663082122803,0.10824508219957352,0.14442799985408783
92,512,142.7462120245875,624.8203125,201.283203125,603,177,640,219,42,37,0.6432160804020101,0.32947232947232946,0.8809523807426304,0.11814747005701065,0.029448335990309715,0.0313725508749485,0.1088925451040268,0.1004825308918953,0.145067498087883
25,487,148.91168824543144,150.09445585215605,363.31211498973306,141,330,161,397,67,20,0.849912739965096,0.36343283582089553,0.29850746264201383,0.0835527628660202,0.05254652723670006,0.0,0.14024250209331512,0.0728912502527237,0.03752470761537552
58,408,107.9827560572969,398.8921568627451,437.8651960784314,383,427,416,453,26,33,0.7259786476868327,0.4755244755244755,1.2692307687426034,0.12198833376169205,0.04938362538814545,0.0,0.17508667707443237,0.11071733385324478,0.08016160130500793
13,394,87.08326112068522,92.4771573604061,150.95685279187816,82,139,107,167,28,25,0.869757174392936,0.5628571428571428,0.8928571425382653,0.08355728536844254,0.06128017231822014,0.0,0.09032560884952545,0.07576398551464081,0.08458258211612701
94,339,94.5685424949238,628.212389380531,479.2802359882006,618,466,640,495,29,22,0.7516629711751663,0.5313479623824452,0.7586206893935791,0.11201727390289307,0.03237595036625862,0.0,0.10367292910814285,0.09672068059444427,0.1356586217880249
39,339,129.05382386916236,250.82890855457228,36.908554572271385,227,25,274,50,25,47,0.6277777777777778,0.2885106382978723,1.8799999992479999,0.09378603100776672,0.058241698890924454,0.0,0.13255831599235535,0.08047895133495331,0.06832091510295868
82,336,85.49747468305833,546.514880952381,101.82738095238095,529,92,559,113,21,30,0.8527918781725888,0.5333333333333333,1.4285714278911563,0.07394958287477493,0.05355624854564667,0.0,0.11807877570390701,0.0607726164162159,0.042997173964977264
44,330,77.84062043356595,261.3333333333333,215.87575757575758,251,204,271,233,29,20,0.8847184986595175,0.5689655172413793,0.6896551721759809,0.10044365376234055,0.05399540811777115,0.0,0.1500178724527359,0.0887344628572464,0.0625787302851677
62,324,94.8111831820431,451.4104938271605,220.94135802469137,438,206,465,237,31,27,0.7807228915662651,0.3870967741935484,0.8709677416545265,0.09574759751558304,0.04870602488517761,0.01568627543747425,0.11757462471723557,0.0789761170744896,0.09069225192070007
15,322,163.78174593052023,129.03416149068323,287.99068322981367,95,277,168,301,24,73,0.6427145708582834,0.18378995433789955,3.0416666653993056,0.09172249585390091,0.05282982066273689,0.0,0.14229685068130493,0.08245047926902771,0.05042022094130516
3,303,103.01219330881975,8.016501650165017,301.44884488448844,0,278,25,312,34,25,0.6183673469387755,0.3564705882352941,0.7352941174307959,0.08179641515016556,0.05177166312932968,0.0,0.11727167665958405,0.07000578194856644,0.05811171233654022
59,291,101.9827560572969,398.5704467353952,534.044673539519,386,523,410,545,22,24,0.6995192307692307,0.5511363636363636,1.090909090413223,0.12498710304498672,0.033188048750162125,0.01568627543747425,0.1445995420217514,0.11073388159275055,0.11962807923555374
20,289,98.12489168102785,111.49134948096886,391.8131487889273,102,380,127,408,28,25,0.6848341232227488,0.41285714285714287,0.8928571425382653,0.10224122554063797,0.028678568080067635,0.01568627543747425,0.11354917287826538,0.0926659107208252,0.10050909221172333
86,261,74.42640687119285,574.9770114942529,82.03065134099617,562,75,591,93,18,29,0.8130841121495327,0.5,1.6111111102160494,0.10992412269115448,0.03993610665202141,0.01568627543747425,0.12984761595726013,0.09814450889825821,0.10178041458129883
48,261,95.39696961966999,293.1417624521073,95.67432950191571,279,84,311,106,22,32,0.6557788944723618,0.37073863636363635,1.4545454538842975,0.12444845587015152,0.03366955369710922,0.0470588244497776,0.10624309629201889,0.10184076428413391,0.16526207327842712
52,240,72.08326112068522,340.6375,420.28333333333336,327,411,356,429,18,29,0.8955223880597015,0.45977011494252873,1.6111111102160494,0.11161764711141586,0.055525362491607666,0.0,0.1691177785396576,0.10183019936084747,0.06390536576509476
70,238,75.74011537017762,493.4873949579832,76.11344537815125,484,64,504,91,27,20,0.7414330218068536,0.44074074074074077,0.7407407404663923,0.10913385450839996,0.02812500111758709,0.01568627543747425,0.11252276599407196,0.09665527194738388,0.11822376400232315
71,235,73.1543289325507,498.73191489361704,199.4255319148936,487,191,514,209,18,27,0.7912457912457912,0.4835390946502058,1.4999999991666666,0.1168905720114708,0.03501138836145401,0.0313725508749485,0.09937437623739243,0.09548621624708176,0.15581147372722626
43,234,81.59797974644667,249.5854700854701,295.5811965811966,244,278,257,313,35,13,0.8830188679245283,0.5142857142857142,0.371428571322449,0.11283726990222931,0.03459860011935234,0.01568627543747425,0.1402379423379898,0.10072076320648193,0.0975533202290535
66,233,86.94722215136416,487.83261802575106,496.17167381974247,472,490,504,505,15,32,0.6454293628808865,0.48541666666666666,2.133333331911111,0.09821875393390656,0.056659989058971405,0.0,0.15669429302215576,0.08854673057794571,0.04941520467400551
